user,comment,time,votes,Case Folding,stopword removal,Lemmatization,tokens,stemming
@nontonhoror-qq6ht,Senang sekaliii dengan vidio ini🙏🏻,1 day ago,0,senang sekaliii dengan vidio ini,senang sekaliii vidio,senang sekaliii vidio,"['senang', 'sekaliii', 'vidio']",senang sekaliii vidio
@adhityahanggadaputra1974,Terima kasih,20 hours ago,0,terima kasih,terima kasih,terima kasih,"['terima', 'kasih']",terima kasih
@apriiiie7603,"Berasa pinter nih gw dengerin podcast ini,pdhl gak ngerti2 amat....😂
Pokoke kl Pak Purbaya ngomong,jd ikutan positive vibes aja....
Bismillah ya Pak....indonesia bisa💪",1 day ago,0,berasa pinter nih gw dengerin podcast inipdhl gak ngerti2 amat pokoke kl pak purbaya ngomongjd ikutan positive vibes aja bismillah ya pakindonesia bisa,berasa pinter nih gw dengerin podcast inipdhl gak ngerti pokoke kl pak purbaya ngomongjd ikutan positive vibes aja bismillah pakindonesia,asa pinter nih gw dengerin podcast inipdhl gak ngerti pokoke kl pak purbaya ngomongjd ikut positive vibes aja bismillah pakindonesia,"['asa', 'pinter', 'nih', 'gw', 'dengerin', 'podcast', 'inipdhl', 'gak', 'ngerti', 'pokoke', 'kl', 'pak', 'purbaya', 'ngomongjd', 'ikut', 'positive', 'vibes', 'aja', 'bismillah', 'pakindonesia']",asa pinter nih gw dengerin podcast inipdhl gak ngerti pokoke kl pak purbaya ngomongjd ikut positive vibes aja bismillah pakindonesia
@Jalan_Receh,Senang sekali melihat pembicaraan 2 orang hebat 🤩,1 day ago,0,senang sekali melihat pembicaraan 2 orang hebat,senang sekali melihat pembicaraan orang hebat,senang sekali lihat bicara orang hebat,"['senang', 'sekali', 'lihat', 'bicara', 'orang', 'hebat']",senang sekali lihat bicara orang hebat
@julyza23,"Terima kasih banyak Pak Gita, sangat beruntung bisa mendengar obrolan seperti ini. Menambah pengetahuan tentang sektor ekonomi🙏🏻",1 day ago,0,terima kasih banyak pak gita sangat beruntung bisa mendengar obrolan seperti ini menambah pengetahuan tentang sektor ekonomi,terima kasih banyak pak gita sangat beruntung mendengar obrolan ini menambah pengetahuan sektor ekonomi,terima kasih banyak pak gita sangat untung dengar obrol ini tambah tahu sektor ekonomi,"['terima', 'kasih', 'banyak', 'pak', 'gita', 'sangat', 'untung', 'dengar', 'obrol', 'ini', 'tambah', 'tahu', 'sektor', 'ekonomi']",terima kasih banyak pak gita sangat untung dengar obrol tambah tahu sektor ekonomi
@calvingamingofficial1740,"Realize klo dlu jaman kuliah aku jarang baca buku 😅 seandainya boleh diulang lg, pengen belajarrrr yg bener.",21 hours ago,1,realize klo dlu jaman kuliah aku jarang baca buku seandainya boleh diulang lg pengen belajarrrr yg bener,realize klo dlu jaman kuliah aku jarang baca buku seandainya diulang lg pengen belajarrrr yg bener,realize klo dlu jaman kuliah aku jarang baca buku anda ulang lg ken belajarrrr yg bener,"['realize', 'klo', 'dlu', 'jaman', 'kuliah', 'aku', 'jarang', 'baca', 'buku', 'anda', 'ulang', 'lg', 'ken', 'belajarrrr', 'yg', 'bener']",realize klo dlu jaman kuliah aku jarang baca buku ulang lg ken belajarrrr yg bener
@endrasuyitno1048,Mantap terimakasih Pak Gita Pak Purbaya,1 day ago,0,mantap terimakasih pak gita pak purbaya,mantap terimakasih pak gita pak purbaya,mantap terimakasih pak gita pak purbaya,"['mantap', 'terimakasih', 'pak', 'gita', 'pak', 'purbaya']",mantap terimakasih pak gita pak purbaya
@umarsetyadi,Terima Kasih Sudah Mencerahkan Untuk NKRI ❤❤❤❤❤,1 day ago,0,terima kasih sudah mencerahkan untuk nkri,terima kasih mencerahkan nkri,terima kasih cerah nkri,"['terima', 'kasih', 'cerah', 'nkri']",terima kasih cerah nkri
@AldianAhmad46,Tiba tiba muncul diberanda ya walaupun ga begitu ngerti tapi suka aja liatnya😊,1 day ago,0,tiba tiba muncul diberanda ya walaupun ga begitu ngerti tapi suka aja liatnya,tiba tiba muncul diberanda walaupun ga ngerti suka aja liatnya,tiba tiba muncul beranda walaupun ga ngerti suka aja liat,"['tiba', 'tiba', 'muncul', 'beranda', 'walaupun', 'ga', 'ngerti', 'suka', 'aja', 'liat']",tiba tiba muncul beranda walaupun ga ngerti suka aja liat
@esaapechan3889,"keren bgt dari awal sampai akhir gak ada iklannya waw,",1 day ago,0,keren bgt dari awal sampai akhir gak ada iklannya waw,keren bgt awal akhir gak iklannya waw,keren bgt awal akhir gak iklan waw,"['keren', 'bgt', 'awal', 'akhir', 'gak', 'iklan', 'waw']",keren bgt awal akhir gak iklan waw
@norristaulil1658,seru euy,21 hours ago,0,seru euy,seru euy,seru euy,"['seru', 'euy']",seru euy
@nongkithinkifriendly4626,Nah enak nih podcastnya ❤❤❤,1 day ago,0,nah enak nih podcastnya,nah enak nih podcastnya,nah enak nih podcastnya,"['nah', 'enak', 'nih', 'podcastnya']",nah enak nih podcastnya
@BangjaliChanel1586,❤❤❤❤❤❤❤❤❤❤istimewa,27 minutes ago,0,istimewa,istimewa,istimewa,['istimewa'],istimewa
@budhipanca4939,"Sangat menginspirasi 2 orang hebat ini. Keren, terima kasih Endgame.",1 day ago,0,sangat menginspirasi 2 orang hebat ini keren terima kasih endgame,sangat menginspirasi orang hebat keren terima kasih endgame,sangat inspirasi orang hebat keren terima kasih endgame,"['sangat', 'inspirasi', 'orang', 'hebat', 'keren', 'terima', 'kasih', 'endgame']",sangat inspirasi orang hebat keren terima kasih endgame
@wisnupratama9670,"Terimakasih pak, Saya menjadi Optimis untuk negara Indonesia maju",1 day ago,0,terimakasih pak saya menjadi optimis untuk negara indonesia maju,terimakasih pak menjadi optimis negara indonesia maju,terimakasih pak jadi optimis negara indonesia maju,"['terimakasih', 'pak', 'jadi', 'optimis', 'negara', 'indonesia', 'maju']",terimakasih pak jadi optimis negara indonesia maju
@debeeiskandar2050,Idola ku pak purbaya dan pak gita,1 day ago,0,idola ku pak purbaya dan pak gita,idola ku pak purbaya pak gita,idola ku pak purbaya pak gita,"['idola', 'ku', 'pak', 'purbaya', 'pak', 'gita']",idola ku pak purbaya pak gita
@sudarmansudarman6687,Obrolan menkeu & Gita yg membuka wawasan saya sebagai guru math,1 day ago,0,obrolan menkeu gita yg membuka wawasan saya sebagai guru math,obrolan menkeu gita yg membuka wawasan sebagai guru math,obrol menkeu gita yg buka wawas bagai guru math,"['obrol', 'menkeu', 'gita', 'yg', 'buka', 'wawas', 'bagai', 'guru', 'math']",obrol menkeu gita yg buka wawas bagai guru math
@AuliaNurFebrianti,Sehat sehat ya Bapak berdua💚,1 day ago,0,sehat sehat ya bapak berdua,sehat sehat bapak berdua,sehat sehat bapak dua,"['sehat', 'sehat', 'bapak', 'dua']",sehat sehat bapak
@rijalulhuda8339,big applause....,5 hours ago,0,big applause,big applause,big applause,"['big', 'applause']",big applause
@muhammadkevinadzanni7266,mewahh,20 hours ago,0,mewahh,mewahh,mewahh,['mewahh'],mewahh
@edwardwijaya2736,2 orang hebat kalo berdiskusi yah seperti ini,1 day ago,0,2 orang hebat kalo berdiskusi yah seperti ini,orang hebat kalo berdiskusi yah ini,orang hebat kalo diskus yah ini,"['orang', 'hebat', 'kalo', 'diskus', 'yah', 'ini']",orang hebat kalo diskus yah
@endahwidyanti5303,Pasti Daging semua...layak disimak 🎉🎉❤,1 day ago,0,pasti daging semualayak disimak,daging semualayak disimak,daging semualayak simak,"['daging', 'semualayak', 'simak']",daging semualayak simak
@maullanaskindey5326,Mewaaaaaaaaaaah super daging🔥,1 day ago,0,mewaaaaaaaaaaah super daging,mewaaaaaaaaaaah super daging,mewaaaaaaaaaaah super daging,"['mewaaaaaaaaaaah', 'super', 'daging']",mewaaaaaaaaaaah super daging
@rahaiun_fitri,Mencoba mengikutin obrolan  2 orang pintar.  🫠,16 hours ago,0,mencoba mengikutin obrolan 2 orang pintar,mencoba mengikutin obrolan orang pintar,coba mengikutin obrol orang pintar,"['coba', 'mengikutin', 'obrol', 'orang', 'pintar']",coba mengikutin obrol orang pintar
@rahmatmansyur7661,tks podcastnya👍👍👍,1 day ago,0,tks podcastnya,tks podcastnya,tks podcastnya,"['tks', 'podcastnya']",tks podcastnya
@yuliaq2209,"Daging nih, thank you pak Gita!",1 day ago,0,daging nih thank you pak gita,daging nih thank you pak gita,daging nih thank you pak gita,"['daging', 'nih', 'thank', 'you', 'pak', 'gita']",daging nih thank you pak gita
@sherlyandriani3815,Podcast yg keren,12 hours ago,0,podcast yg keren,podcast yg keren,podcast yg keren,"['podcast', 'yg', 'keren']",podcast yg keren
@sriitaaleminakembaren2967,"semangat Pak Pur, fokus on your part Pak. Terima kasih Pak Gita yang menyicil transparansi melalui podcast ini.",1 day ago,0,semangat pak pur fokus on your part pak terima kasih pak gita yang menyicil transparansi melalui podcast ini,semangat pak pur fokus on your part pak terima kasih pak gita menyicil transparansi melalui podcast,semangat pak pur fokus on your part pak terima kasih pak gita menyicil transparansi lalu podcast,"['semangat', 'pak', 'pur', 'fokus', 'on', 'your', 'part', 'pak', 'terima', 'kasih', 'pak', 'gita', 'menyicil', 'transparansi', 'lalu', 'podcast']",semangat pak pur fokus on your part pak terima kasih pak gita menyicil transparansi lalu podcast
@neversea5365,EXCELLENT 😊,1 day ago,0,excellent,excellent,excellent,['excellent'],excellent
@sparliah,"Nah betul tuh, para pemda harus diedukasi dalam membuat anggaran , kadang mereka hanya membuat anggaran hanya dieskalasikan dari tahun sebelum nya",1 day ago (edited),0,nah betul tuh para pemda harus diedukasi dalam membuat anggaran kadang mereka hanya membuat anggaran hanya dieskalasikan dari tahun sebelum nya,nah betul tuh pemda diedukasi membuat anggaran kadang membuat anggaran hanya dieskalasikan tahun nya,nah betul tuh pemda edukasi buat anggar kadang buat anggar hanya eskalasi tahun nya,"['nah', 'betul', 'tuh', 'pemda', 'edukasi', 'buat', 'anggar', 'kadang', 'buat', 'anggar', 'hanya', 'eskalasi', 'tahun', 'nya']",nah betul tuh pemda edukasi buat anggar kadang buat anggar eskalasi tahun nya
@bergurau_ai,"keren sekali, betul betul berisi ni pembahasan. sangat bermanfaat",1 day ago,0,keren sekali betul betul berisi ni pembahasan sangat bermanfaat,keren sekali betul betul berisi ni pembahasan sangat bermanfaat,keren sekali betul betul isi ni bahas sangat manfaat,"['keren', 'sekali', 'betul', 'betul', 'isi', 'ni', 'bahas', 'sangat', 'manfaat']",keren sekali betul betul isi ni bahas sangat manfaat
@AgamTriyogaLongTime123,Luar biasa,12 hours ago,0,luar biasa,luar biasa,luar biasa,"['luar', 'biasa']",luar biasa
@xperiencereal,Memang pinter memang pak Pur!,1 day ago,0,memang pinter memang pak pur,memang pinter memang pak pur,memang pinter memang pak pur,"['memang', 'pinter', 'memang', 'pak', 'pur']",memang pinter memang pak pur
@andreasyna,sangat menarik !!!,1 day ago,0,sangat menarik,sangat menarik,sangat tarik,"['sangat', 'tarik']",sangat tarik
@jambankuniing,teriimakasih pak 🙏,1 day ago,0,teriimakasih pak,teriimakasih pak,teriimakasih pak,"['teriimakasih', 'pak']",teriimakasih pak
@RullyOie,Podcast ini SUPERB sekali!!! 🔥🔥🔥,1 day ago,0,podcast ini superb sekali,podcast superb sekali,podcast superb sekali,"['podcast', 'superb', 'sekali']",podcast superb sekali
@ahmadalkhaidar2,"Hormat sebesar-besar kepada Pak Gita, Menteri Keuangan RI Pak Purbaya dan juga Presiden RI Pak Prabowo atas cita cita dan niat baiknya. Ya Allah Ya Rab  Mudahkanlah dan lancarkanlah niat baik mereka serta hilangkanlah segala halangan dan rintangan yang akan dihadapi mereka. Aamiin.",1 day ago (edited),0,hormat sebesarbesar kepada pak gita menteri keuangan ri pak purbaya dan juga presiden ri pak prabowo atas cita cita dan niat baiknya ya allah ya rab mudahkanlah dan lancarkanlah niat baik mereka serta hilangkanlah segala halangan dan rintangan yang akan dihadapi mereka aamiin,hormat sebesarbesar pak gita menteri keuangan ri pak purbaya juga presiden ri pak prabowo atas cita cita niat baiknya allah rab mudahkanlah lancarkanlah niat baik serta hilangkanlah segala halangan rintangan akan dihadapi aamiin,hormat sebesarbesar pak gita menteri uang ri pak purbaya juga presiden ri pak prabowo atas cita cita niat baik allah rab mudah lancar niat baik serta hilang segala halang rintang akan hadap aamiin,"['hormat', 'sebesarbesar', 'pak', 'gita', 'menteri', 'uang', 'ri', 'pak', 'purbaya', 'juga', 'presiden', 'ri', 'pak', 'prabowo', 'atas', 'cita', 'cita', 'niat', 'baik', 'allah', 'rab', 'mudah', 'lancar', 'niat', 'baik', 'serta', 'hilang', 'segala', 'halang', 'rintang', 'akan', 'hadap', 'aamiin']",hormat sebesarbesar pak gita menteri uang ri pak purbaya presiden ri pak prabowo atas cita cita niat baik allah rab mudah lancar niat baik hilang segala halang rintang hadap aamiin
@dzfiddin6013,Ada pak purbaya saya tonton.. Terimakasih pak,1 day ago,0,ada pak purbaya saya tonton terimakasih pak,pak purbaya tonton terimakasih pak,pak purbaya tonton terimakasih pak,"['pak', 'purbaya', 'tonton', 'terimakasih', 'pak']",pak purbaya tonton terimakasih pak
@adieA7X,"Matur Nuwun, Pak Gita...",1 day ago,0,matur nuwun pak gita,matur nuwun pak gita,matur nuwun pak gita,"['matur', 'nuwun', 'pak', 'gita']",matur nuwun pak gita
@eggifirmansyah9656,Jauh dari merasa guru ada beban..bravo pa pur pa gita,1 day ago,0,jauh dari merasa guru ada bebanbravo pa pur pa gita,jauh merasa guru bebanbravo pa pur pa gita,jauh rasa guru bebanbravo pa pur pa gita,"['jauh', 'rasa', 'guru', 'bebanbravo', 'pa', 'pur', 'pa', 'gita']",jauh rasa guru bebanbravo pa pur pa gita
@patrissabuna2603,"Indonesia tidak kekurangan orang pintar, tapi kekurangan banyak orang jujur.",20 hours ago (edited),0,indonesia tidak kekurangan orang pintar tapi kekurangan banyak orang jujur,indonesia kekurangan orang pintar kekurangan banyak orang jujur,indonesia kurang orang pintar kurang banyak orang jujur,"['indonesia', 'kurang', 'orang', 'pintar', 'kurang', 'banyak', 'orang', 'jujur']",indonesia kurang orang pintar kurang banyak orang jujur
@anjalolong,"Great podcast, Thank you Mr. Gita. ❤",11 hours ago,0,great podcast thank you mr gita,great podcast thank you mr gita,great podcast thank you mr gita,"['great', 'podcast', 'thank', 'you', 'mr', 'gita']",great podcast thank you mr gita
@dimitriprabhataaryosasongk5045,Terima kasih Pak !!,23 hours ago,0,terima kasih pak,terima kasih pak,terima kasih pak,"['terima', 'kasih', 'pak']",terima kasih pak
@David301191,"Keren pembahasannya, makasih Pak Gita ❤️",1 day ago,0,keren pembahasannya makasih pak gita,keren pembahasannya makasih pak gita,keren bahas makasih pak gita,"['keren', 'bahas', 'makasih', 'pak', 'gita']",keren bahas makasih pak gita
@purwiba5090,Blom 24 jam udh 200rb yg nntn luar biasa pak purbaya ini,1 day ago,0,blom 24 jam udh 200rb yg nntn luar biasa pak purbaya ini,blom jam udh rb yg nntn luar biasa pak purbaya,blom jam udh rb yg nntn luar biasa pak purbaya,"['blom', 'jam', 'udh', 'rb', 'yg', 'nntn', 'luar', 'biasa', 'pak', 'purbaya']",blom jam udh rb yg nntn luar biasa pak purbaya
@AhmadS-nm8ky,kereeeen,1 day ago,0,kereeeen,kereeeen,kereeeen,['kereeeen'],kereeeen
@budiawan-e4s,Setup nya enak bat sma grading nya pas angle kamera juga good 🔥🔥,1 day ago (edited),0,setup nya enak bat sma grading nya pas angle kamera juga good,setup nya enak bat sma grading nya pas angle kamera good,setup nya enak bat sma grading nya pas angle kamera good,"['setup', 'nya', 'enak', 'bat', 'sma', 'grading', 'nya', 'pas', 'angle', 'kamera', 'good']",setup nya enak bat sma grading nya pas angle kamera good
@iriantipraptiana9648,Keren pak Purbaya...,1 day ago,0,keren pak purbaya,keren pak purbaya,keren pak purbaya,"['keren', 'pak', 'purbaya']",keren pak purbaya
@ashariai3274,"Salah 1 Podcast terkeren yanh pernah saya nonton. Saya berharap pemerintah benar2 memikirkan bahwa membangun negara ini salah satunya diisi orang2 pandai yang membangun negara, bukan generasi2 yg dicekokin konten tiktok dll sehingga waktu mereka habis untuk scrolling",1 day ago,0,salah 1 podcast terkeren yanh pernah saya nonton saya berharap pemerintah benar2 memikirkan bahwa membangun negara ini salah satunya diisi orang2 pandai yang membangun negara bukan generasi2 yg dicekokin konten tiktok dll sehingga waktu mereka habis untuk scrolling,salah podcast terkeren yanh pernah nonton berharap pemerintah benar memikirkan membangun negara salah satunya diisi orang pandai membangun negara bukan generasi yg dicekokin konten tiktok sehingga waktu habis scrolling,salah podcast keren yanh pernah nonton harap perintah benar pikir bangun negara salah satu isi orang pandai bangun negara bukan generasi yg dicekokin konten tiktok sehingga waktu habis scrolling,"['salah', 'podcast', 'keren', 'yanh', 'pernah', 'nonton', 'harap', 'perintah', 'benar', 'pikir', 'bangun', 'negara', 'salah', 'satu', 'isi', 'orang', 'pandai', 'bangun', 'negara', 'bukan', 'generasi', 'yg', 'dicekokin', 'konten', 'tiktok', 'sehingga', 'waktu', 'habis', 'scrolling']",salah podcast keren yanh pernah nonton harap perintah benar pikir bangun negara salah satu isi orang pandai bangun negara bukan generasi yg dicekokin konten tiktok waktu habis scrolling
@VibeWithTwistzz,Perbanyak podcast² seperti ini❤❤,1 day ago,0,perbanyak podcast seperti ini,perbanyak podcast ini,banyak podcast ini,"['banyak', 'podcast', 'ini']",banyak podcast
@fathurrohman8845,Memang jos jis,1 day ago,0,memang jos jis,memang jos jis,memang jos jis,"['memang', 'jos', 'jis']",memang jos jis
@andien_fitri,"Gaswat ini, gw jatuh cinta pada kedua bapak2 ini. MasyAllah pada pinter2 bget ini. Butuh obat pintar ini, biar cepat pinter kek bapak2 ini haha..",7 hours ago,0,gaswat ini gw jatuh cinta pada kedua bapak2 ini masyallah pada pinter2 bget ini butuh obat pintar ini biar cepat pinter kek bapak2 ini haha,gaswat gw jatuh cinta kedua bapak masyallah pinter bget butuh obat pintar biar cepat pinter kek bapak haha,gaswat gw jatuh cinta dua bapak masyallah pinter bget butuh obat pintar biar cepat pinter kek bapak haha,"['gaswat', 'gw', 'jatuh', 'cinta', 'dua', 'bapak', 'masyallah', 'pinter', 'bget', 'butuh', 'obat', 'pintar', 'biar', 'cepat', 'pinter', 'kek', 'bapak', 'haha']",gaswat gw jatuh cinta bapak masyallah pinter bget butuh obat pintar biar cepat pinter kek bapak haha
@yoggiesd,Thanks!,1 day ago,1,thanks,thanks,thanks,['thanks'],thanks
@mohamadandi5881,"Podcast yg sangat berkualitas, terimakasih Pa Gita, Pa Purbaya...",1 day ago,0,podcast yg sangat berkualitas terimakasih pa gita pa purbaya,podcast yg sangat berkualitas terimakasih pa gita pa purbaya,podcast yg sangat kualitas terimakasih pa gita pa purbaya,"['podcast', 'yg', 'sangat', 'kualitas', 'terimakasih', 'pa', 'gita', 'pa', 'purbaya']",podcast yg sangat kualitas terimakasih pa gita pa purbaya
@ryanzulfifa21,"terima kasih, pak Gita Irawan Wirjawan 🎉",1 day ago,0,terima kasih pak gita irawan wirjawan,terima kasih pak gita irawan wirjawan,terima kasih pak gita irawan wirjawan,"['terima', 'kasih', 'pak', 'gita', 'irawan', 'wirjawan']",terima kasih pak gita irawan wirjawan
@noniwartabone9520,"semoga kedepannya guru masa depannya cerah,,, insyaa Allah pak Purbaya akan mewujudkan gaji guru lebih manusiawi",1 day ago,0,semoga kedepannya guru masa depannya cerah insyaa allah pak purbaya akan mewujudkan gaji guru lebih manusiawi,semoga kedepannya guru masa depannya cerah insyaa allah pak purbaya mewujudkan gaji guru lebih manusiawi,moga depan guru masa depan cerah insyaa allah pak purbaya wujud gaji guru lebih manusiawi,"['moga', 'depan', 'guru', 'masa', 'depan', 'cerah', 'insyaa', 'allah', 'pak', 'purbaya', 'wujud', 'gaji', 'guru', 'lebih', 'manusiawi']",moga depan guru masa depan cerah insyaa allah pak purbaya wujud gaji guru lebih manusiawi
@hafidadiatma5875,"Juli agustus september turun, oktober naik, desember turun lagi kasus illegal logging penyebab banjir😂",1 day ago,2,juli agustus september turun oktober naik desember turun lagi kasus illegal logging penyebab banjir,juli agustus september turun oktober naik desember turun kasus illegal logging penyebab banjir,juli agustus september turun oktober naik desember turun kasus illegal logging sebab banjir,"['juli', 'agustus', 'september', 'turun', 'oktober', 'naik', 'desember', 'turun', 'kasus', 'illegal', 'logging', 'sebab', 'banjir']",juli agustus september turun oktober naik desember turun kasus illegal logging banjir
@mahendrasunarno7896,Kelas ini❤❤❤,1 day ago,0,kelas ini,kelas,kelas,['kelas'],kelas
@liverpoolinshort,Amazing,1 day ago,0,amazing,amazing,amazing,['amazing'],amazing
@khabibnurmagomedov695,"Next undang wapres, dong.. bahas AI dan blockchain, sepertinya akan daging juga obrolannya..",9 hours ago,1,next undang wapres dong bahas ai dan blockchain sepertinya akan daging juga obrolannya,next undang wapres dong bahas ai blockchain sepertinya daging obrolannya,next undang wapres dong bahas ai blockchain seperti daging obrol,"['next', 'undang', 'wapres', 'dong', 'bahas', 'ai', 'blockchain', 'seperti', 'daging', 'obrol']",next undang wapres dong bahas ai blockchain daging obrol
@danuduklun,Keren ini acaranya ❤,1 day ago,0,keren ini acaranya,keren acaranya,keren acara,"['keren', 'acara']",keren acara
@KentangRebus471,28:04 I love his response here lmao,1 day ago,1,2804 i love his response here lmao,i love his response here lmao,i love his response here lmao,"['i', 'love', 'his', 'response', 'here', 'lmao']",i love his response here lmao
@erlirahmah438,Makin yakin buat lanjut sekolah setelah keadaan mulai stabil🤲,1 day ago,0,makin yakin buat lanjut sekolah setelah keadaan mulai stabil,makin yakin buat lanjut sekolah keadaan mulai stabil,makin yakin buat lanjut sekolah ada mulai stabil,"['makin', 'yakin', 'buat', 'lanjut', 'sekolah', 'ada', 'mulai', 'stabil']",makin yakin buat lanjut sekolah mulai stabil
@ofanchanel4366,Termotivasi untuk ambil S2 ekonomi,14 hours ago (edited),0,termotivasi untuk ambil s2 ekonomi,termotivasi ambil s ekonomi,motivasi ambil s ekonomi,"['motivasi', 'ambil', 's', 'ekonomi']",motivasi ambil s ekonomi
@muhammaddimasaditya7111,"soal whoosh, yang menyebalkan adalah pada saat itu, pemilik otoritas seakan-akan abai dengan himbauan-himbauan yang ada.

tapi ya it is what it is, semoga apa yang tengah diusahakan dalam mendorong pertumbuhan ekonomi berjalan secara optimal dan menghasilkan sesuatu yang positif.",4 hours ago,0,soal whoosh yang menyebalkan adalah pada saat itu pemilik otoritas seakanakan abai dengan himbauanhimbauan yang ada tapi ya it is what it is semoga apa yang tengah diusahakan dalam mendorong pertumbuhan ekonomi berjalan secara optimal dan menghasilkan sesuatu yang positif,soal whoosh menyebalkan pada itu pemilik otoritas seakanakan abai himbauanhimbauan ada ya it is what it is semoga apa tengah diusahakan mendorong pertumbuhan ekonomi berjalan optimal menghasilkan yang positif,soal whoosh sebal pada itu milik otoritas seakanakan abai himbauanhimbauan ada ya it is what it is moga apa tengah usaha dorong tumbuh ekonomi jalan optimal hasil yang positif,"['soal', 'whoosh', 'sebal', 'pada', 'itu', 'milik', 'otoritas', 'seakanakan', 'abai', 'himbauanhimbauan', 'ada', 'ya', 'it', 'is', 'what', 'it', 'is', 'moga', 'apa', 'tengah', 'usaha', 'dorong', 'tumbuh', 'ekonomi', 'jalan', 'optimal', 'hasil', 'yang', 'positif']",soal whoosh sebal itu milik otoritas seakanakan abai himbauanhimbauan ya it is what it is moga apa tengah usaha dorong tumbuh ekonomi jalan optimal hasil positif
@wardanash460,"Sejenak terdiam ""BIARKAN SAYA TUMBUHKAN EKONOMI DULU"" 
BARAKALLAH PAK PUR",3 hours ago,0,sejenak terdiam biarkan saya tumbuhkan ekonomi dulu barakallah pak pur,sejenak terdiam biarkan tumbuhkan ekonomi dulu barakallah pak pur,jenak diam biar tumbuh ekonomi dulu barakallah pak pur,"['jenak', 'diam', 'biar', 'tumbuh', 'ekonomi', 'dulu', 'barakallah', 'pak', 'pur']",jenak diam biar tumbuh ekonomi dulu barakallah pak pur
@Furellecaw,obrolan berkualitas,1 day ago,0,obrolan berkualitas,obrolan berkualitas,obrol kualitas,"['obrol', 'kualitas']",obrol kualitas
@TheOnran,Terima kasih bapak berdua 🇮🇩✊ banyak ilmu yg kami cerap..optimis Indonesia akan lebih baik untuk anak cucu kita ♥️♥️,1 day ago,0,terima kasih bapak berdua banyak ilmu yg kami cerapoptimis indonesia akan lebih baik untuk anak cucu kita,terima kasih bapak berdua banyak ilmu yg cerapoptimis indonesia lebih baik anak cucu,terima kasih bapak dua banyak ilmu yg cerapoptimis indonesia lebih baik anak cucu,"['terima', 'kasih', 'bapak', 'dua', 'banyak', 'ilmu', 'yg', 'cerapoptimis', 'indonesia', 'lebih', 'baik', 'anak', 'cucu']",terima kasih bapak banyak ilmu yg cerapoptimis indonesia lebih baik anak cucu
@buasbuas6782,5 minutes standing ovation... 👏,1 day ago (edited),0,5 minutes standing ovation,minutes standing ovation,minutes standing ovation,"['minutes', 'standing', 'ovation']",minutes standing ovation
@hardwired66,mantap dan agak ngakak 😂,1 day ago,1,mantap dan agak ngakak,mantap agak ngakak,mantap agak ngakak,"['mantap', 'agak', 'ngakak']",mantap ngakak
@AuliaAbundance,"Saya single parents bawa enam anak, lagi banyak2nya biaya, dengerin ini beneran daging bgt ngobatin trauma Finansial....",10 hours ago,0,saya single parents bawa enam anak lagi banyak2nya biaya dengerin ini beneran daging bgt ngobatin trauma finansial,single parents bawa enam anak banyaknya biaya dengerin beneran daging bgt ngobatin trauma finansial,single parents bawa enam anak banyak biaya dengerin beneran daging bgt ngobatin trauma finansial,"['single', 'parents', 'bawa', 'enam', 'anak', 'banyak', 'biaya', 'dengerin', 'beneran', 'daging', 'bgt', 'ngobatin', 'trauma', 'finansial']",single parents bawa enam anak banyak biaya dengerin beneran daging bgt ngobatin trauma finansial
@AdityaPratama-em9lh,"Terima kasih Pak Gita dan Pak Purbaya, obrolannya terlalu eksklusif dan sangat mudah dimengerti",1 day ago,0,terima kasih pak gita dan pak purbaya obrolannya terlalu eksklusif dan sangat mudah dimengerti,terima kasih pak gita pak purbaya obrolannya terlalu eksklusif sangat mudah dimengerti,terima kasih pak gita pak purbaya obrol terlalu eksklusif sangat mudah erti,"['terima', 'kasih', 'pak', 'gita', 'pak', 'purbaya', 'obrol', 'terlalu', 'eksklusif', 'sangat', 'mudah', 'erti']",terima kasih pak gita pak purbaya obrol terlalu eksklusif sangat mudah erti
@Fuad12-is1ei,"PODCAST tergosks, sehat-sehat njeh pak pur & pak gita 🇮🇩🇮🇩🇮🇩",1 day ago,0,podcast tergosks sehatsehat njeh pak pur pak gita,podcast tergosks sehatsehat njeh pak pur pak gita,podcast tergosks sehatsehat njeh pak pur pak gita,"['podcast', 'tergosks', 'sehatsehat', 'njeh', 'pak', 'pur', 'pak', 'gita']",podcast tergosks sehatsehat njeh pak pur pak gita
